step,time,pf_lat,pf_lon,pf_alt,t1_lat,t1_lon,t1_alt,t1_yaw,t1_vx,t1_vy,t1_vz,t1_spd,t2_lat,t2_lon,t2_alt,t2_yaw,t2_vx,t2_vy,t2_vz,t2_spd
59,5.9000,32.000000000,126.000000000,0.0000,32.125000000,126.028124299,0.0000,-90.0000,24.261851,17.645469,0.000000,30.000000,32.109359213,126.000000000,300.0000,-180.0000,-62.485916,86.004485,-169.407021,200.000000
60,6.0000,32.000000000,126.000000000,0.0000,32.125000000,126.028092507,0.0000,-90.0000,24.261861,17.645455,0.000000,30.000000,32.109178861,126.000000000,300.0000,-180.0000,-62.485602,86.004054,-169.407356,200.000000
61,6.1000,32.000000000,126.000000000,0.0000,32.125000000,126.028060716,0.0000,-90.0000,24.261871,17.645442,0.000000,30.000000,32.108998508,126.000000000,300.0000,-180.0000,-62.485289,86.003622,-169.407691,200.000000
62,6.2000,32.000000000,126.000000000,0.0000,32.125000000,126.028028924,0.0000,-90.0000,24.261881,17.645429,0.000000,30.000000,32.108818156,126.000000000,300.0000,-180.0000,-62.484976,86.003191,-169.408025,200.000000
63,6.3000,32.000000000,126.000000000,0.0000,32.125000000,126.027997133,0.0000,-90.0000,24.261890,17.645415,0.000000,30.000000,32.108637803,126.000000000,300.0000,-180.0000,-62.484662,86.002759,-169.408360,200.000000
64,6.4000,32.000000000,126.000000000,0.0000,32.125000000,126.027965341,0.0000,-90.0000,24.261900,17.645402,0.000000,30.000000,32.108457451,126.000000000,300.0000,-180.0000,-62.484349,86.002328,-169.408694,200.000000
65,6.5000,32.000000000,126.000000000,0.0000,32.125000000,126.027933550,0.0000,-90.0000,24.261910,17.645388,0.000000,30.000000,32.108277098,126.000000000,300.0000,-180.0000,-62.484035,86.001897,-169.409029,200.000000
66,6.6000,32.000000000,126.000000000,0.0000,32.125000000,126.027901758,0.0000,-90.0000,24.261920,17.645375,0.000000,30.000000,32.108096746,126.000000000,300.0000,-180.0000,-62.483722,86.001465,-169.409364,200.000000
67,6.7000,32.000000000,126.000000000,0.0000,32.125000000,126.027869967,0.0000,-90.0000,24.261930,17.645361,0.000000,30.000000,32.107916393,126.000000000,300.0000,-180.0000,-62.483408,86.001034,-169.409698,200.000000
68,6.8000,32.000000000,126.000000000,0.0000,32.125000000,126.027838175,0.0000,-90.0000,24.261939,17.645348,0.000000,30.000000,32.107736041,126.000000000,300.0000,-180.0000,-62.483095,86.000602,-169.410033,200.000000
69,6.9000,32.000000000,126.000000000,0.0000,32.125000000,126.027806384,0.0000,-90.0000,24.261949,17.645334,0.000000,30.000000,32.107555688,126.000000000,300.0000,-180.0000,-62.482782,86.000171,-169.410368,200.000000
70,7.0000,32.000000000,126.000000000,0.0000,32.125000000,126.027774592,0.0000,-90.0000,24.261959,17.645321,0.000000,30.000000,32.107375336,126.000000000,300.0000,-180.0000,-62.482468,85.999739,-169.410702,200.000000
71,7.1000,32.000000000,126.000000000,0.0000,32.125000000,126.027742800,0.0000,-90.0000,24.261969,17.645307,0.000000,30.000000,32.107194983,126.000000000,300.0000,-180.0000,-62.482155,85.999308,-169.411037,200.000000
72,7.2000,32.000000000,126.000000000,0.0000,32.125000000,126.027711009,0.0000,-90.0000,24.261979,17.645294,0.000000,30.000000,32.107014631,126.000000000,300.0000,-180.0000,-62.481841,85.998877,-169.411371,200.000000
73,7.3000,32.000000000,126.000000000,0.0000,32.125000000,126.027679217,0.0000,-90.0000,24.261988,17.645280,0.000000,30.000000,32.106834278,126.000000000,300.0000,-180.0000,-62.481528,85.998445,-169.411706,200.000000
74,7.4000,32.000000000,126.000000000,0.0000,32.125000000,126.027647426,0.0000,-90.0000,24.261998,17.645267,0.000000,30.000000,32.106653925,126.000000000,300.0000,-180.0000,-62.481214,85.998014,-169.412041,200.000000
75,7.5000,32.000000000,126.000000000,0.0000,32.125000000,126.027615634,0.0000,-90.0000,24.262008,17.645254,0.000000,30.000000,32.106473573,126.000000000,300.0000,-180.0000,-62.480901,85.997582,-169.412375,200.000000
76,7.6000,32.000000000,126.000000000,0.0000,32.125000000,126.027583843,0.0000,-90.0000,24.262018,17.645240,0.000000,30.000000,32.106293220,126.000000000,300.0000,-180.0000,-62.480587,85.997151,-169.412710,200.000000
77,7.7000,32.000000000,126.000000000,0.0000,32.125000000,126.027552051,0.0000,-90.0000,24.262028,17.645227,0.000000,30.000000,32.106112868,126.000000000,300.0000,-180.0000,-62.480274,85.996719,-169.413044,200.000000
78,7.8000,32.000000000,126.000000000,0.0000,32.125000000,126.027520260,0.0000,-90.0000,24.262037,17.645213,0.000000,30.000000,32.105932515,126.000000000,300.0000,-180.0000,-62.479961,85.996288,-169.413379,200.000000
79,7.9000,32.000000000,126.000000000,0.0000,32.125000000,126.027488468,0.0000,-90.0000,24.262047,17.645200,0.000000,30.000000,32.105752163,126.000000000,300.0000,-180.0000,-62.479647,85.995857,-169.413714,200.000000
80,8.0000,32.000000000,126.000000000,0.0000,32.125000000,126.027456677,0.0000,-90.0000,24.262057,17.645186,0.000000,30.000000,32.105571810,126.000000000,300.0000,-180.0000,-62.479334,85.995425,-169.414048,200.000000
81,8.1000,32.000000000,126.000000000,0.0000,32.125000000,126.027424885,0.0000,-90.0000,24.262067,17.645173,0.000000,30.000000,32.105391457,126.000000000,300.0000,-180.0000,-62.479020,85.994994,-169.414383,200.000000
82,8.2000,32.000000000,126.000000000,0.0000,32.125000000,126.027393094,0.0000,-90.0000,24.262076,17.645159,0.000000,30.000000,32.105211105,126.000000000,300.0000,-180.0000,-62.478707,85.994562,-169.414717,200.000000
83,8.3000,32.000000000,126.000000000,0.0000,32.125000000,126.027361302,0.0000,-90.0000,24.262086,17.645146,0.000000,30.000000,32.105030752,126.000000000,300.0000,-180.0000,-62.478393,85.994131,-169.415052,200.000000
84,8.4000,32.000000000,126.000000000,0.0000,32.125000000,126.027329510,0.0000,-90.0000,24.262096,17.645132,0.000000,30.000000,32.104850400,126.000000000,300.0000,-180.0000,-62.478080,85.993700,-169.415387,200.000000
85,8.5000,32.000000000,126.000000000,0.0000,32.125000000,126.027297719,0.0000,-90.0000,24.262106,17.645119,0.000000,30.000000,32.104670047,126.000000000,300.0000,-180.0000,-62.477766,85.993268,-169.415721,200.000000
86,8.6000,32.000000000,126.000000000,0.0000,32.125000000,126.027265927,0.0000,-90.0000,24.262116,17.645105,0.000000,30.000000,32.104489694,126.000000000,300.0000,-180.0000,-62.477453,85.992837,-169.416056,200.000000
87,8.7000,32.000000000,126.000000000,0.0000,32.125000000,126.027234136,0.0000,-90.0000,24.262125,17.645092,0.000000,30.000000,32.104309342,126.000000000,300.0000,-180.0000,-62.477139,85.992405,-169.416390,200.000000
88,8.8000,32.000000000,126.000000000,0.0000,32.125000000,126.027202344,0.0000,-90.0000,24.262135,17.645079,0.000000,30.000000,32.104128989,126.000000000,300.0000,-180.0000,-62.476826,85.991974,-169.416725,200.000000
89,8.9000,32.000000000,126.000000000,0.0000,32.125000000,126.027170553,0.0000,-90.0000,24.262145,17.645065,0.000000,30.000000,32.103948637,126.000000000,300.0000,-180.0000,-62.476513,85.991542,-169.417059,200.000000
