t,id,lat_deg,lon_deg,alt_m,yaw_deg
5.3,0,32.000000000,126.000000000,0.0000,0.0000
5.3,1,32.125000000,126.028315048,0.0001,270.0000
5.3,2,32.110441328,126.000000000,300.0017,180.0000
5.4,0,32.000000000,126.000000000,0.0000,0.0000
5.4,1,32.125000000,126.028283257,0.0001,270.0000
5.4,2,32.110260975,126.000000000,300.0017,180.0000
5.5,0,32.000000000,126.000000000,0.0000,0.0000
5.5,1,32.125000000,126.028251465,0.0001,270.0000
5.5,2,32.110080623,126.000000000,300.0018,180.0000
5.6,0,32.000000000,126.000000000,0.0000,0.0000
5.6,1,32.125000000,126.028219674,0.0001,270.0000
5.6,2,32.109900270,126.000000000,300.0018,180.0000
5.7,0,32.000000000,126.000000000,0.0000,0.0000
5.7,1,32.125000000,126.028187882,0.0001,270.0000
5.7,2,32.109719918,126.000000000,300.0018,180.0000
5.8,0,32.000000000,126.000000000,0.0000,0.0000
5.8,1,32.125000000,126.028156091,0.0001,270.0000
5.8,2,32.109539566,126.000000000,300.0019,180.0000
5.9,0,32.000000000,126.000000000,0.0000,0.0000
5.9,1,32.125000000,126.028124299,0.0001,270.0000
5.9,2,32.109359213,126.000000000,300.0019,180.0000
6.0,0,32.000000000,126.000000000,0.0000,0.0000
6.0,1,32.125000000,126.028092507,0.0001,270.0000
6.0,2,32.109178861,126.000000000,300.0019,180.0000
6.1,0,32.000000000,126.000000000,0.0000,0.0000
6.1,1,32.125000000,126.028060716,0.0001,270.0000
6.1,2,32.108998508,126.000000000,300.0020,180.0000
6.2,0,32.000000000,126.000000000,0.0000,0.0000
6.2,1,32.125000000,126.028028924,0.0001,270.0000
6.2,2,32.108818156,126.000000000,300.0020,180.0000
6.3,0,32.000000000,126.000000000,0.0000,0.0000
6.3,1,32.125000000,126.027997133,0.0001,270.0000
6.3,2,32.108637803,126.000000000,300.0020,180.0000
6.4,0,32.000000000,126.000000000,0.0000,0.0000
6.4,1,32.125000000,126.027965341,0.0001,270.0000
6.4,2,32.108457451,126.000000000,300.0020,180.0000
6.5,0,32.000000000,126.000000000,0.0000,0.0000
6.5,1,32.125000000,126.027933550,0.0001,270.0000
6.5,2,32.108277098,126.000000000,300.0021,180.0000
6.6,0,32.000000000,126.000000000,0.0000,0.0000
6.6,1,32.125000000,126.027901758,0.0001,270.0000
6.6,2,32.108096746,126.000000000,300.0021,180.0000
6.7,0,32.000000000,126.000000000,0.0000,0.0000
6.7,1,32.125000000,126.027869967,0.0001,270.0000
6.7,2,32.107916393,126.000000000,300.0021,180.0000
6.8,0,32.000000000,126.000000000,0.0000,0.0000
6.8,1,32.125000000,126.027838175,0.0001,270.0000
6.8,2,32.107736041,126.000000000,300.0022,180.0000
6.9,0,32.000000000,126.000000000,0.0000,0.0000
6.9,1,32.125000000,126.027806384,0.0001,270.0000
6.9,2,32.107555688,126.000000000,300.0022,180.0000
7.0,0,32.000000000,126.000000000,0.0000,0.0000
7.0,1,32.125000000,126.027774592,0.0001,270.0000
7.0,2,32.107375336,126.000000000,300.0022,180.0000
7.1,0,32.000000000,126.000000000,0.0000,0.0000
7.1,1,32.125000000,126.027742800,0.0001,270.0000
7.1,2,32.107194983,126.000000000,300.0023,180.0000
7.2,0,32.000000000,126.000000000,0.0000,0.0000
7.2,1,32.125000000,126.027711009,0.0001,270.0000
7.2,2,32.107014631,126.000000000,300.0023,180.0000
7.3,0,32.000000000,126.000000000,0.0000,0.0000
7.3,1,32.125000000,126.027679217,0.0001,270.0000
7.3,2,32.106834278,126.000000000,300.0023,180.0000
7.4,0,32.000000000,126.000000000,0.0000,0.0000
7.4,1,32.125000000,126.027647426,0.0001,270.0000
7.4,2,32.106653925,126.000000000,300.0024,180.0000
7.5,0,32.000000000,126.000000000,0.0000,0.0000
7.5,1,32.125000000,126.027615634,0.0001,270.0000
7.5,2,32.106473573,126.000000000,300.0024,180.0000
7.6,0,32.000000000,126.000000000,0.0000,0.0000
7.6,1,32.125000000,126.027583843,0.0001,270.0000
7.6,2,32.106293220,126.000000000,300.0024,180.0000
7.7,0,32.000000000,126.000000000,0.0000,0.0000
7.7,1,32.125000000,126.027552051,0.0001,270.0000
7.7,2,32.106112868,126.000000000,300.0025,180.0000
7.8,0,32.000000000,126.000000000,0.0000,0.0000
7.8,1,32.125000000,126.027520260,0.0001,270.0000
7.8,2,32.105932515,126.000000000,300.0025,180.0000
7.9,0,32.000000000,126.000000000,0.0000,0.0000
7.9,1,32.125000000,126.027488468,0.0001,270.0000
7.9,2,32.105752163,126.000000000,300.0025,180.0000
8.0,0,32.000000000,126.000000000,0.0000,0.0000
8.0,1,32.125000000,126.027456677,0.0001,270.0000
8.0,2,32.105571810,126.000000000,300.0025,180.0000
8.1,0,32.000000000,126.000000000,0.0000,0.0000
8.1,1,32.125000000,126.027424885,0.0001,270.0000
8.1,2,32.105391457,126.000000000,300.0026,180.0000
8.2,0,32.000000000,126.000000000,0.0000,0.0000
8.2,1,32.125000000,126.027393094,0.0001,270.0000
8.2,2,32.105211105,126.000000000,300.0026,180.0000
8.3,0,32.000000000,126.000000000,0.0000,0.0000
8.3,1,32.125000000,126.027361302,0.0001,270.0000
